DateTime,Temperature(C),Humidity(%),CO2(ppm),PM1.0,PM2.5,PM10
11/12/2025 11:14,20.3,61.4,715,1,3,5
11/12/2025 11:15,20.2,61.4,713,2,3,5
11/12/2025 11:16,20.3,61.4,713,2,3,5
11/12/2025 11:17,20.2,61.5,711,0,2,4
11/12/2025 11:18,20.3,61.5,711,0,2,4
11/12/2025 11:19,20.3,61.4,709,0,2,4
11/12/2025 11:20,20.3,61.2,709,0,2,4
11/12/2025 11:21,20.3,61,709,1,3,4
11/12/2025 11:22,20.3,61,707,1,3,5
11/12/2025 11:23,20.3,61.1,707,1,4,5
11/12/2025 11:24,20.3,61.1,704,2,4,6
11/12/2025 11:25,20.3,61.2,704,2,5,6
11/12/2025 11:26,20.3,61.2,702,2,5,6
11/12/2025 11:27,20.3,61.3,702,2,5,7
11/12/2025 11:28,20.3,61.3,702,2,5,7
11/12/2025 11:29,20.3,61.3,700,2,6,8
11/12/2025 11:30,20.3,61.4,700,2,6,8
11/12/2025 11:31,20.3,61.4,699,2,6,8
11/12/2025 11:32,20.3,61.4,699,2,5,7
11/12/2025 11:33,20.3,61.4,699,1,5,7
11/12/2025 11:34,20.3,61.4,699,1,5,7
11/12/2025 11:35,20.3,61.5,699,1,5,7
11/12/2025 11:36,20.3,61.3,699,1,4,7
11/12/2025 11:37,20.3,61.2,699,0,3,6
11/12/2025 11:38,20.3,61.1,699,0,3,5
11/12/2025 11:39,20.3,61.2,699,0,3,5
11/12/2025 11:40,20.2,61.2,699,0,2,4
11/12/2025 11:41,20.2,61.2,700,0,2,4
11/12/2025 11:42,20.2,61.4,700,0,0,0
11/12/2025 11:43,20.2,61.4,700,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
